Rk,Player,Pos,Tm,Salary
1,Dak Prescott\PresDa01,QB,DAL,31409000.00
2,Jimmy Garoppolo\GaroJi00,QB,SFO,23800000.00
3,Trent Brown\BrowTr02,OT,LVR,21250000.00
4,Derek Carr\CarrDe02,QB,LVR,18900000.00
5,Russell Wilson\WilsRu00,QB,SEA,18000000.00
6,A.J. Green\GreeA.00,WR,CIN,17971000.00
7,Ryan Tannehill\TannRy00,QB,TEN,17500000.00
8,Aaron Donald\DonaAa00,DT,LAR,17000000.00
9,Matt Judon\JudoMa00,DE,BAL,16808000.00
10,Leonard Williams\WillLe02,DT,NYG,16126000.00
,Chris Jones\JoneCh09,DT,KAN,16126000.00
12,Taylor Lewan\LewaTa00,OT,TEN,16000000.00
,Chandler Jones\JoneCh03,DE,ARI,16000000.00
,Alex Smith\SmitAl03,QB,WAS,16000000.00
15,Shaquil Barrett\BarrSh00,OLB,TAM,15828000.00
,Bud Dupree\DuprAl00,DE,PIT,15828000.00
17,J.J. Watt\WattJ.00,DE,HOU,15500000.00
18,Brandon Scherff\ScheBr00,G,WAS,15030000.00
19,Tom Brady\BradTo00,QB,TAM,15000000.00
20,Joe Thuney\ThunJo00,OG,NWE,14781000.00
21,T.Y. Hilton\HiltT.00,WR,IND,14542000.00
22,Donovan Smith\SmitDo02,OT,TAM,14500000.00
23,Stefon Diggs\DiggSt00,WR,BUF,14200000.00
24,Odell Beckham Jr.\BeckOd00,WR,CLE,14000000.00
,Melvin Ingram\IngrMe00,DE,LAC,14000000.00
26,Khalil Mack\MackKh00,OLB,CHI,13300000.00
27,Jarvis Landry\LandJa00,WR,CLE,13000000.00
,Philip Rivers\RivePh00,QB,IND,13000000.00
,A.J. Bouye\BouyA.00,CB,DEN,13000000.00
,Stephon Gilmore\GilmSt00,CB,NWE,13000000.00
,Russell Okung\OkunRu20,T,CAR,13000000.00
32,Myles Jack\JackMy00,OLB,JAX,12750000.00
33,Kawann Short\ShorKa00,DT,CAR,12500000.00
,Trent Williams\WillTr21,T,SFO,12500000.00
35,DeForest Buckner\BuckDe00,DT,IND,12378000.00
36,Patrick Peterson\PetePa00,CB,ARI,12050000.00
37,Frank Clark\ClarFr01,DE,KAN,12000000.00
,Davante Adams\AdamDa01,WR,GNB,12000000.00
39,Xavien Howard\HowaXa00,CB,MIA,11900000.00
,Sheldon Richardson\RichSh00,DT,CLE,11900000.00
41,Ryan Kerrigan\KerrRy00,DE,WAS,11500000.00
42,Justin Simmons\SimmJu00,FS,DEN,11441000.00
,Anthony Harris\HarrAn01,DB,MIN,11441000.00
44,Jurrell Casey\CaseJu00,DL,DEN,11250000.00
45,Julio Jones\JoneJu02,WR,ATL,11200000.00
46,Tyrann Mathieu\MathTy00,CB,KAN,11150000.00
47,Trey Flowers\FlowTr00,DE,DET,11125000.00
48,Geno Atkins\AtkiGe99,DT,CIN,11100000.00
49,Larry Fitzgerald\FitzLa00,WR,ARI,11000000.00
,Kareem Jackson\JackKa99,DB,DEN,11000000.00
,Byron Jones\JoneBy00,CB,MIA,11000000.00
,Malcolm Butler\ButlMa01,CB,TEN,11000000.00
53,Allen Robinson\RobiAl02,WR,CHI,10900000.00
54,Laremy Tunsil\TunsLa00,OT,HOU,10850000.00
55,Bobby Wagner\WagnBo00,ILB,SEA,10750000.00
,Lavonte David\DaviLa00,OLB,TAM,10750000.00
57,Hunter Henry\HenrHu00,TE,LAC,10607000.00
58,David Bakhtiari\BakhDa00,OT,GNB,10500000.00
,Whitney Mercilus\MercWh00,DE,HOU,10500000.00
60,Akiem Hicks\HickAk00,DE,CHI,10200000.00
,David Johnson\JohnDa08,RB,HOU,10200000.00
62,Will Fuller\FullWi01,WR,HOU,10162000.00
63,Kevin Zeitler\ZeitKe00,G,NYG,10000000.00
,Ryan Jensen\JensRy00,T,TAM,10000000.00
,Marcus Peters\PeteMa00,CB,BAL,10000000.00
,Anthony Barr\BarrAn00,OLB,MIN,10000000.00
,Amari Cooper\CoopAm00,WR,DAL,10000000.00
,Landon Collins\CollLa00,SS,WAS,10000000.00
69,William Jackson III\JackWi02,CB,CIN,9954000.00
70,Alshon Jeffery\JeffAl00,WR,PHI,9910000.00
71,Casey Hayward\HaywCa00,DB,LAC,9750000.00
72,Rodger Saffold\SaffRo20,T,TEN,9500000.00
,Kirk Cousins\CousKi00,QB,MIN,9500000.00
74,Gabe Jackson\JackGa00,OG,LVR,9350000.00
75,Rob Gronkowski\GronRo00,TE,TAM,9000000.00
,Andrew Norwell\NorwAn01,G,JAX,9000000.00
,Stephon Tuitt\TuitSt00,DT,PIT,9000000.00
78,Eric Fisher\FishEr00,OT,KAN,8750000.00
,Duane Brown\BrowDu20,T,SEA,8750000.00
80,Trai Turner\TurnTr01,OG,LAC,8500000.00
,Jamison Crowder\CrowJa00,WR,NYJ,8500000.00
,Tyler Lockett\LockTy00,WR,SEA,8500000.00
,Travis Kelce\KelcTr00,TE,KAN,8500000.00
,Joel Bitonio\BitoJo00,OT,CLE,8500000.00
85,Kenyan Drake\DrakKe00,RB,ARI,8483000.00
86,Ronnie Stanley\StanRo00,OT,BAL,8366000.00
87,Harrison Smith\SmitHa00,FS,MIN,8350000.00
88,Tre'Davious White\WhitTr01,CB,BUF,8250000.00
89,Tyrone Crawford\CrawTy00,DE,DAL,8000000.00
,Justin Houston\HousJu00,LB,IND,8000000.00
,Brandin Cooks\CookBr00,WR,HOU,8000000.00
,Richard Sherman\SherRi00,DB,SFO,8000000.00
,Yannick Ngakoue\NgakYa00,OLB,2TM,8000000.00
,Teddy Bridgewater\BridTe00,QB,CAR,8000000.00
,Alex Mack\MackAl20,C,ATL,8000000.00
,Ryan Fitzpatrick\FitzRy00,QB,MIA,8000000.00
97,Golden Tate\TateGo00,WR,NYG,7975000.00
98,Charles Leno Jr.\LenoCh00,OG,CHI,7900000.00
99,Carlos Dunlap\DunlCa99,DE,2TM,7800000.00
,Anthony Hitchens\HitcAn00,OLB,KAN,7800000.00
101,Corey Linsley\LinsCo00,C,GNB,7650000.00
